Id;Question;Answer
22;608 no.'lu Otobüs Hattı'nın durakları nelerdir?;608 no'lu Otobüs Hattının durakları, Yeni Pazar, Nazilli, Sultan Hisar, Kuyucak ve Karasu'dur.
23;608 no.'lu Otobüs Hattı'nın kalkış saatleri nelerdir?;608 no.'lu Otobüs Hattı'nın kalkış saatleri 7.20, 8.20, 9.20, 12.20, 14.20, 16.20, 18.20'dir.
24;608 no.'lu Otobüs Hattı'nın Nazilli'ye varış süresi nedir?;608 no.'lu Otobüs Hattı'nın Nazilli'ye varış süresi 20 dakikadır.
25;608 no.'lu Otobüs Hattı'nın Sultan Hisar'a varış süresi nedir?;608 no.'lu Otobüs Hattı'nın Sultan Hisar'a varış süresi 1 saat 5 dakikadır.
26;608 no.'lu Otobüs Hattı'nın Kuyucak'a varış süresi nedir?;608 no.'lu Otobüs Hattı'nın Kuyucak'a varış süresi 1 saat 20 dakikadır.
27;608 no.'lu Otobüs Hattı'nın Karacasu'ya varış süresi nedir?;608 no.'lu Otobüs Hattı'nın Karacasu'ya varış süresi 1 saat 20 dakikadır.
28;608 no.'lu Otobüs Hattı'nın fiyatlandırması nedir?;608 no.'lu Otobüs Hattı'nın fiyatlandırması öğrenciler için 2.80 TL ile 3.50 TL arasında, öğrenci olmayanlarda 3.20 TL ile 3.90 TL arasında değişmektedir.
29;605 no.’lu otobüs ücretleri nelerdir?;Otobüs ücreti 2.90 TL’dir.
30;608 otobüsünde kaç durak vardır?;5 durak vardır.
31;606 otobüsünde durakların adı nedir?;Kuşadası, Söke, İncirliova, Koçarlı, Karpuzlu.
32;607 otobüsünün 3. seferi Köşk durağından saat kaçta kalkıyor?;Saat 11 de kalkıyor.
33;Otobüslerde kaç sefer vardır?;Otobüslerde 7 sefer vardır.
34;Kuşadası Karpuzlu yolculuğu kaç saat sürer?;2 saat 40 dk. yolculuk sürer.
35;Yeni Pazar Sultan Hisar durakları arası öğrenci ücreti ne kadar?;Öğrenci ücreti 3 TL.
36;605 numaralı otobüs hangi duraklara gitmektedir?;605 numaralı otobüsümüz sırasıyla Adü, Forum Aydın, Zafer Meydanı, Tren Garı, Otogar duraklarına gitmektedir.
37;606 numaralı otobüs hangi duraklara gitmektedir?;606 numaralı otobüsümüz sırasıyla Karpuzlu, Koçarlı, İncirliova, Söke, Kuşadası duraklarına gitmektedir.
38;607 numaralı otobüs hangi duraklara gitmektedir?;607 numaralı otobüsümüz sırasıyla Köşk, Germencik, Efeler, Bozdoğan, Çine duraklarına gitmektedir.
39;608 numaralı otobüs hangi duraklara gitmektedir?;608 numaralı otobüsümüz sırasıyla Yeni Pazar, Nazilli, Sultan Hisar, Kuyucak, Karacasu duraklarına gitmektedir.
40;Adü'ye gitmek istiyorum, hangi numaralı otobüse binmeliyim?;Adü durağına 605 numaralı otobüsümüz gitmektedir.
41;Forum Aydın'a gitmek istiyorum, hangi numaralı otobüse binmeliyim?;Forum Aydın durağına 605 numaralı otobüsümüz gitmektedir.
42;Zafer Meydanı'na gitmek istiyorum, hangi numaralı otobüse binmeliyim?;Zafer Meydanı durağına 605 numaralı otobüsümüz gitmektedir.
43;Tren garı'na gitmek istiyorum, hangi numaralı otobüse binmeliyim?;Tren garı durağına 605 numaralı otobüsümüz gitmektedir.
44;Otogar'a gitmek istiyorum, hangi numaralı otobüse binmeliyim?;Otogar durağına 605 numaralı otobüsümüz gitmektedir.
45;Karpuzlu'ya gitmek istiyorum, hangi numaralı otobüse binmeliyim?;Karpuzlu durağına 606 numaralı otobüsümüz gitmektedir.
46;Koçarlı'ya gitmek istiyorum, hangi numaralı otobüse binmeliyim?;Koçarlı durağına 606 numaralı otobüsümüz gitmektedir.
47;İncirliova'ya gitmek istiyorum, hangi numaralı otobüse binmeliyim?;İncirliova durağına 606 numaralı otobüsümüz gitmektedir.
48;Söke'ye gitmek istiyorum, hangi numaralı otobüse binmeliyim?;Söke durağına 606 numaralı otobüsümüz gitmektedir.
49;Kuşadası'na gitmek istiyorum, hangi numaralı otobüse binmeliyim?;Kuşadası durağına 606 numaralı otobüsümüz gitmektedir.
50;Köşk'e gitmek istiyorum, hangi numaralı otobüse binmeliyim?;Köşk durağına 607 numaralı otobüsümüz gitmektedir.
51;Germencik'e gitmek istiyorum, hangi numaralı otobüse binmeliyim?;Germencik durağına 607 numaralı otobüsümüz gitmektedir.
52;Efeler'e gitmek istiyorum, hangi numaralı otobüse binmeliyim?;Efeler durağına 607 numaralı otobüsümüz gitmektedir.
53;Bozdoğan'a gitmek istiyorum, hangi numaralı otobüse binmeliyim?;Bozdoğan durağına 607 numaralı otobüsümüz gitmektedir.
54;Çine'ye gitmek istiyorum, hangi numaralı otobüse binmeliyim?;Çine durağına 607 numaralı otobüsümüz gitmektedir.
55;Yeni Pazar'a gitmek istiyorum, hangi numaralı otobüse binmeliyim?;Yeni Pazar durağına 608 numaralı otobüsümüz gitmektedir.
56;Nazilli'ye gitmek istiyorum, hangi numaralı otobüse binmeliyim?;Nazilli durağına 608 numaralı otobüsümüz gitmektedir.
57;Sultan Hisar'a gitmek istiyorum, hangi numaralı otobüse binmeliyim?;Sultan Hisar durağına 608 numaralı otobüsümüz gitmektedir.
58;Kuyucak'a gitmek istiyorum, hangi numaralı otobüse binmeliyim?;Kuyucak durağına 608 numaralı otobüsümüz gitmektedir.
59;Karacasu'ya gitmek istiyorum, hangi numaralı otobüse binmeliyim?;Karacasu durağına 608 numaralı otobüsümüz gitmektedir.
60;Adü'den Otogar'a giden birinci sefer saat kaçta?;Adü'den Otogar'a giden birinci seferimiz saat 06.15'te kalkmaktadır.
61;Adü'den Otogar'a giden ikinci sefer saat kaçta?;Adü'den Otogar'a giden ikinci seferimiz saat 09.00'da kalkmaktadır.
62;Adü'den Otogar'a giden üçüncü sefer saat kaçta?;Adü'den Otogar'a giden üçüncü seferimiz saat 09.45'te kalkmaktadır.
63;Adü'den Otogar'a giden dördüncü sefer saat kaçta?;Adü'den Otogar'a giden dördüncü seferimiz saat 12.05'te kalkmaktadır.
64;Adü'den Otogar'a giden beşinci sefer saat kaçta?;Adü'den Otogar'a giden beşinci seferimiz saat 14.20'de kalkmaktadır.
65;Adü'den Otogar'a giden altıncı sefer saat kaçta?;Adü'den Otogar'a giden altıncı seferimiz saat 16.50'de kalkmaktadır.
66;Adü'den Otogar'a giden yedinci sefer saat kaçta?;Adü'den Otogar'a giden yedinci seferimiz saat 18.30'da kalkmaktadır.
67;Otogar'dan Adü'ye giden birinci sefer saat kaçta?;Otogar'dan Adü'ye giden birinci seferimiz saat 06.15'te kalkmaktadır.
68;Otogar'dan Adü'ye giden ikinci sefer saat kaçta?;Otogar'dan Adü'ye giden ikinci seferimiz saat 09.00'da kalkmaktadır.
69;Otogar'dan Adü'ye giden üçüncü sefer saat kaçta?;Otogar'dan Adü'ye giden üçüncü seferimiz saat 09.45'te kalkmaktadır.
70;Otogar'dan Adü'ye giden dördüncü sefer saat kaçta?;Otogar'dan Adü'ye giden dördüncü seferimiz saat 12.05'te kalkmaktadır.
71;Otogar'dan Adü'ye giden beşinci sefer saat kaçta?;Otogar'dan Adü'ye giden beşinci seferimiz saat 14.20'de kalkmaktadır.
72;Otogar'dan Adü'ye giden altıncı sefer saat kaçta?;Otogar'dan Adü'ye giden altıncı seferimiz saat 16.50'de kalkmaktadır.
73;Otogar'dan Adü'ye giden yedinci sefer saat kaçta?;Otogar'dan Adü'ye giden yedinci seferimiz saat 18.30'da kalkmaktadır.
74;Karpuzlu'dan Kuşadası'na giden birinci sefer saat kaçta?;Karpuzlu'dan Kuşadası'na giden birinci seferimiz saat 06.00'da kalkmaktadır.
75;Karpuzlu'dan Kuşadası'na giden ikinci sefer saat kaçta?;Karpuzlu'dan Kuşadası'na giden ikinci seferimiz saat 08.45'te kalkmaktadır.
76;Karpuzlu'dan Kuşadası'na giden üçüncü sefer saat kaçta?;Karpuzlu'dan Kuşadası'na giden üçüncü seferimiz saat 09.30'da kalkmaktadır.
77;Karpuzlu'dan Kuşadası'na giden dördüncü sefer saat kaçta?;Karpuzlu'dan Kuşadası'na giden dördüncü seferimiz saat 11.50'de kalkmaktadır.
78;Karpuzlu'dan Kuşadası'na giden beşinci sefer saat kaçta?;Karpuzlu'dan Kuşadası'na giden beşinci seferimiz saat 14.05'te kalkmaktadır.
79;Karpuzlu'dan Kuşadası'na giden altıncı sefer saat kaçta?;Karpuzlu'dan Kuşadası'na giden altıncı seferimiz saat 16.35'te kalkmaktadır.
80;Karpuzlu'dan Kuşadası'na giden yedinci sefer saat kaçta?;Karpuzlu'dan Kuşadası'na giden yedinci seferimiz saat 18.15'te kalkmaktadır.
81;Kuşadası'ndan Karpuzlu'ya giden birinci sefer saat kaçta?;Kuşadası'ndan Karpuzlu'ya giden birinci seferimiz saat 07.00'de kalkmaktadır.
82;Kuşadası'ndan Karpuzlu'ya giden ikinci sefer saat kaçta?;Kuşadası'ndan Karpuzlu'ya giden ikinci seferimiz saat 09.45'te kalkmaktadır.
83;Kuşadası'ndan Karpuzlu'ya giden üçüncü sefer saat kaçta?;Kuşadası'ndan Karpuzlu'ya giden üçüncü seferimiz saat 10.30'da kalkmaktadır.
84;Kuşadası'ndan Karpuzlu'ya giden dördüncü sefer saat kaçta?;Kuşadası'ndan Karpuzlu'ya giden dördüncü seferimiz saat 12.50'de kalkmaktadır.
85;Kuşadası'ndan Karpuzlu'ya giden beşinci sefer saat kaçta?;Kuşadası'ndan Karpuzlu'ya giden beşinci seferimiz saat 15.05'te kalkmaktadır.
86;Kuşadası'ndan Karpuzlu'ya giden altıncı sefer saat kaçta?;Kuşadası'ndan Karpuzlu'ya giden altıncı seferimiz saat 17.35'te kalkmaktadır.
87;Kuşadası'ndan Karpuzlu'ya giden yedinci sefer saat kaçta?;Kuşadası'ndan Karpuzlu'ya giden yedinci seferimiz saat 19.15'te kalkmaktadır.
88;Köşk'ten Çine'ye giden birinci sefer saat kaçta?;Köşk'ten Çine'ye giden birinci seferimiz saat 07.30'da kalkmaktadır.
89;Köşk'ten Çine'ye giden ikinci sefer saat kaçta?;Köşk'ten Çine'ye giden ikinci seferimiz saat 10.15'te kalkmaktadır.
90;Köşk'ten Çine'ye giden üçüncü sefer saat kaçta?;Köşk'ten Çine'ye giden üçüncü sefer saat 11.00'de kalkmaktadır.
91;Köşk'ten Çine'ye giden dördüncü sefer saat kaçta?;Köşk'ten Çine'ye giden dördüncü seferimiz saat 13.20'de kalkmaktadır.
92;Köşk'ten Çine'ye giden beşinci sefer saat kaçta?;Köşk'ten Çine'ye giden beşinci seferimiz saat 15.35'te kalkmaktadır.
93;Köşk'ten Çine'ye giden altıncı sefer saat kaçta?;Köşk'ten Çine'ye giden altıncı seferimiz saat 8.05'te kalkmaktadır.
94;Köşk'ten Çine'ye giden yedinci sefer saat kaçta?;Köşk'ten Çine'ye giden yedinci seferimiz saat 19.45'te kalkmaktadır.
95;Çine'den Köşk'e giden birinci sefer saat kaçta?;Çine'den Köşk'e giden birinci seferimiz saat 08.30'da kalkmaktadır.
96;Çine'den Köşk'e giden ikinci sefer saat kaçta?;Çine'den Köşk'e giden ikinci seferimiz saat 11.15'te kalkmaktadır.
97;Çine'den Köşk'e giden üçüncü sefer saat kaçta?;Çine'den Köşk'e giden üçüncü seferimiz saat 12.00'de kalkmaktadır.
98;Çine'den Köşk'e giden dördüncü sefer saat kaçta?;Çine'den Köşk'e giden dördüncü seferimiz saat 14.20'de kalkmaktadır.
99;Çine'den Köşk'e giden beşinci sefer saat kaçta?;Çine'den Köşk'e giden beşinci seferimiz saat 16.35'te kalkmaktadır.
100;Çine'den Köşk'e giden altıncı sefer saat kaçta?;Çine'den Köşk'e giden altıncı seferimiz saat 19.05'te kalkmaktadır.
101;Çine'den Köşk'e giden yedinci sefer saat kaçta?;Çine'den Köşk'e giden yedinci seferimiz saat 20.45'te kalkmaktadır.
102;Yeni Pazar'dan Karacasu'ya giden birinci sefer saat kaçta?;Yeni Pazar'dan Karacasu'ya giden birinci seferimiz saat 07.20'de kalkmaktadır.
103;Yeni Pazar'dan Karacasu'ya giden ikinci sefer saat kaçta?;Yeni Pazar'dan Karacasu'ya giden ikinci seferimiz saat 08.20'de kalkmaktadır.
104;Yeni Pazar'dan Karacasu'ya giden üçüncü sefer saat kaçta?;Yeni Pazar'dan Karacasu'ya giden üçüncü seferimiz saat 09.20'de kalkmaktadır.
105;Yeni Pazar'dan Karacasu'ya giden dördüncü sefer saat kaçta?;Yeni Pazar'dan Karacasu'ya giden dördüncü seferimiz saat 12.20'de kalkmaktadır.
106;Yeni Pazar'dan Karacasu'ya giden beşinci sefer saat kaçta?;Yeni Pazar'dan Karacasu'ya giden beşinci seferimiz saat 14.20'de kalkmaktadır.
107;Yeni Pazar'dan Karacasu'ya giden altıncı sefer saat kaçta?;Yeni Pazar'dan Karacasu'ya giden altıncı seferimiz saat 16.20'de kalkmaktadır.
108;Yeni Pazar'dan Karacasu'ya giden yedinci sefer saat kaçta?;Yeni Pazar'dan Karacasu'ya giden yedinci seferimiz saat 18.20'de kalkmaktadır.
109;Karacasu'dan Yeni Pazar'a giden birinci sefer saat kaçta?;Karacasu'dan Yeni Pazar'a giden birinci seferimiz saat 07.20'de kalkmaktadır.
110;Karacasu'dan Yeni Pazar'a giden ikinci sefer saat kaçta?;Karacasu'dan Yeni Pazar'a giden ikinci seferimiz saat 08.20'de kalkmaktadır.
111;Karacasu'dan Yeni Pazar'a giden üçüncü sefer saat kaçta?;Karacasu'dan Yeni Pazar'a giden üçüncü seferimiz saat 09.20'de kalkmaktadır.
112;Karacasu'dan Yeni Pazar'a giden dördüncü sefer saat kaçta?;Karacasu'dan Yeni Pazar'a giden dördüncü seferimiz saat 12.20'de kalkmaktadır.
113;Karacasu'dan Yeni Pazar'a giden beşinci sefer saat kaçta?;Karacasu'dan Yeni Pazar'a giden beşinci seferimiz saat 14.20'de kalkmaktadır.
114;Karacasu'dan Yeni Pazar'a giden altıncı sefer saat kaçta?;Karacasu'dan Yeni Pazar'a giden altıncı seferimiz saat 16.20'de kalkmaktadır.
115;Karacasu'dan Yeni Pazar'a giden yedinci sefer saat kaçta?;Karacasu'dan Yeni Pazar'a giden yedinci seferimiz saat 18.20'de kalkmaktadır.
116;Karpuzlu'dan Koçarlı'ya öğrenci ne kadar?;Karpuzlu'dan Koçarlı'ya öğrenci ücreti 2.80 TL'dir. 
117;Karpuzlu'dan İncirliova'ya öğrenci ne kadar?;Karpuzlu'dan İncirliova'ya öğrenci ücreti 3.10 TL'dir.
118;Karpuzlu'dan Söke'ye öğrenci ne kadar?;Karpuzlu'dan Söke'ye öğrenci ücreti 3.40 TL'dir.
119;Karpuzlu'dan Kuşadası'na öğrenci ne kadar?;Karpuzlu'dan Kuşadası'na öğrenci ücreti 4.40 TL'dir.
120;Karpuzlu'dan Koçarlı'ya tam ne kadar?;Karpuzlu'dan Koçarlı'ya tam yolcu ücreti 3.20 TL'dir.
121;Karpuzlu'dan İncirliova'ya tam ne kadar?;Karpuzlu'dan İncirliova'ya tam yolcu ücreti 3.50 TL'dir.
122;Karpuzlu'dan Söke'ye tam ne kadar?;Karpuzlu'dan Söke'ye tam yolcu ücreti 3.80 TL'dir.
123;Karpuzlu'dan Kuşadası'na tam ne kadar?;Karpuzlu'dan Kuşadası'na tam yolcu ücreti 4.80 TL'dir.
124;Koçarlı'dan İncirliova'ya öğrenci ne kadar?;Koçarlı'dan İncirliova'ya öğrenci ücreti 2.60 TL'dir.
125;Koçarlı'dan Söke'ye öğrenci ne kadar?;Koçarlı'dan Söke'ye öğrenci ücreti 2.90 TL'dir.
126;Koçarlı'dan Kuşadası'na öğrenci ne kadar?;Koçarlı'dan Kuşadası'na öğrenci ücreti 4.00 TL'dir.
127;Koçarlı'dan İncirliova'ya tam ne kadar?;Koçarlı'dan İncirliova'ya tam yolcu ücreti 3.00 TL'dir.
128;Koçarlı'dan Söke'ye tam ne kadar?;Koçarlı'dan Söke'ye tam yolcu ücreti 3.30 TL'dir.
129;Koçarlı'dan Kuşadası'na tam ne kadar?;Koçarlı'dan Kuşadası'na tam yolcu ücreti 4.40 TL'dir.
130;İncirliova'dan Söke'ye öğrenci ne kadar?;İncirliova'dan Söke'ye öğrenci ücreti 2.50 TL'dir.
131;İncirliova'dan Kuşadası'na öğrenci ne kadar?;İncirliova'dan Kuşadası'na öğrenci ücreti 2.70 TL'dir.
132;İncirliova'dan Söke'ye tam ne kadar?;İncirliova'dan Söke'ye tam yolcu ücreti 2.90 TL'dir.
133;İncirliova'dan Kuşadası'na tam ne kadar?;İncirliova'dan Kuşadası'na tam yolcu ücreti 3.10 TL'dir.
134;Söke'den Kuşadası'na öğrenci ne kadar?;Söke'den Kuşadası'na öğrenci ücreti 3.50 TL'dir
135;Söke'den Kuşadası'na tam ne kadar?;Söke'den Kuşadası'na tam yolcu ücreti 3.90 TL'dir.
136;Köşk'ten Germencik'e öğrenci ne kadar?;Köşk'ten Germencik'e öğrenci ücreti 2.60 TL'dir.
137;Köşk'ten Efelere öğrenci ne kadar?;Köşk'ten Efeler'e öğrenci ücreti 3.00 TL'dir.
138;Köşk'ten Bozdoğan'a öğrenci ne kadar?;Köşk'ten Bozdoğan'a öğrenci ücreti 3.30 TL'dir.
139;Köşk'ten Çine'ye öğrenci ne kadar?;Köşk'ten Çine'ye öğrenci ücreti 3.50 TL'dir.
140;Köşk'ten Germencik'e tam ne kadar?;Köşk'ten Germencik'e tam yolcu ücreti 3.00 TL'dir.
141;Köşk'ten Efeler'e tam ne kadar?;Köşk'ten Efeler'e tam yolcu ücreti 3.40 TL'dir.
142;Köşk'ten Bozdoğan'a tam ne kadar?;Köşk'ten Bozdoğan'a tam yolcu ücreti 3.70 TL'dir.
143;Köşk'ten Çine'ye tam ne kadar?;Köşk'ten Çine'ye tam yolcu ücreti 3.90 TL'dir.
144;Germencik'ten Efeler'e öğrenci ne kadar?;Germencik'ten Efeler'e öğrenci ücreti 2.70 TL'dir.
145;Germencik'ten Bozdoğan'a öğrenci ne kadar?;Germencik'ten Bozdoğan'a öğrenci ücreti 3.10 TL'dir.
146;Germencik'ten Çine'ye öğrenci ne kadar?;Germencik'ten Çine'ye öğrenci ücreti 3.30 TL'dir.
147;Germencik'ten Efeler'e tam ne kadar?;Germencik'ten Efeler'e tam yolcu ücreti 3.10 TL'dir.
148;Germencik'ten Bozdoğan'a tam ne kadar?;Germencik'ten Bozdoğan'a tam yolcu ücreti 3.50 TL'dir.
149;Germencikten Çineye tam ne kadar?;Germencikten Çineye tam yolcu ücreti 3.70 TL'dir.
150;Efeler'den Bozdoğan'a öğrenci ne kadar?;Efeler'den Bozdoğan'a öğrenci ücreti 2.80 TL'dir.
151;Efeler'den Çine'ye öğrenci ne kadar?;Efeler'den Çine'ye öğrenci ücreti 3.00 TL'dir.
152;Efeler'den Bozdoğan'a tam ne kadar?;Efeler'den Bozdoğan'a tam yolcu ücreti 3.20 TL'dir.
153;Efeler'den Çine'ye tam ne kadar?;Efeler'den Çine'ye tam yolcu ücreti 3.40 TL'dir.
154;Bozdoğan'dan Çine'ye öğrenci ne kadar?;Bozdoğan'dan Çine'ye öğrenci ücreti 2.50 TL'dir.
155;Bozdoğan'dan Çine'ye tam ne kadar?;Bozdoğan'dan Çine'ye tam yolcu ücreti 2.90 TL'dir.
156;Yeni Pazar'dan Nazilli'ye öğrenci ne kadar?;Yeni Pazar'dan Nazilli'ye öğrenci ücreti 2.80 TL'dir.
157;Yeni Pazar'dan Sultan Hisar'a öğrenci ne kadar?;Yeni Pazar'dan Sultan Hisar'a öğrenci ücreti 3.00 TL'dir.
158;Yeni Pazar'dan Kuyucak'a öğrenci ne kadar?;Yeni Pazar'dan Kuyucak'a öğrenci ücreti 3.40 TL'dir. 
159;Yeni Pazar'dan Karacasu'ya öğrenci ne kadar?;Yeni Pazar'dan Karacasu'ya öğrenci ücreti 3.50 TL'dir.
160;Yeni Pazar'dan Nazilli'ye tam ne kadar?;Yeni Pazar'dan Nazilli'ye tam yolcu ücreti 3.20 TL'dir.
161;Yeni Pazar'dan Sultan Hisar'a tam ne kadar?;Yeni Pazar'dan Sultan Hisar'a tam yolcu ücreti 3.40 TL'dir.
162;Yeni Pazar'dan Kuyucak'a tam ne kadar?;Yeni Pazar'dan Kuyucak'a tam yolcu ücreti 3.80 TL'dir.
163;Yeni Pazar'dan Karacasu'ya tam ne kadar?;Yeni Pazar'dan Karacasu'ya tam yolcu ücreti 3.90 TL'dir.
164;Nazilli'den Sultan Hisar'a öğrenci ne kadar?;Nazilli'den Sultan Hisar'a öğrenci ücreti 2.80 TL'dir.
165;Nazilli'den Kuyucak'a öğrenci ne kadar?;Nazilli'den Kuyucak'a öğrenci ücreti 3.20 TL'dir. 
166;Nazilli'den Karacasu'ya öğrenci ne kadar?;Nazilli'den Karacasu'ya öğrenci ücreti 3.30 TL'dir.
167;Nazilli'den Sultan Hisar'a tam ne kadar?;Nazilli'den Sultan Hisar'a tam yolcu ücreti 3.20 TL'dir.
168;Nazilli'den Kuyucak'a tam ne kadar?;Nazilli'den Kuyucak'a tam yolcu ücreti 3.60 TL'dir
169;Nazilli'den Karacasu'ya tam ne kadar?;Nazilli'den Karacasu'ya tam yolcu ücreti 3.70 TL'dir.
170;Sultan Hisar'dan Kuyucak'a öğrenci ne kadar?;Sultan Hisar'dan Kuyucak'a öğrenci ücreti 3.00 TL'dir.
171;Sultan Hisar'dan Karacasu'ya öğrenci ne kadar?;Sultan Hisar'dan Karacasu'ya öğrenci ücreti 3.10 TL'dir.
172;Sultan Hisar'dan Kuyucak'a tam ne kadar?;Sultan Hisar'dan Kuyucak'a tam yolcu ücreti 3.40 TL'dir. 
173;Sultan Hisar'dan Karacasu'ya tam ne kadar?,;Sultan Hisar'dan Karacasu'ya tam yolcu ücreti 3.50 TL'dir.
174;Kuyucak'tan Karacasu'ya öğrenci ne kadar?;Kuyucak'tan Karacasu'ya öğrenci ücreti 2.90 TL'dir.
175;Kuyucak'tan Karacasu'ya tam ne kadar?;Kuyucak'tan Karacasu'ya tam yolcu ücreti 3.30 TL'dir.
176;Adü'den Forum Aydın'a öğrenci ne kadar?;Adü'den Forum Aydın'a öğrenci ücreti 2.90 TL'dir.
177;Forum Aydın'dan Zafer Meydanı'na öğrenci ne kadar?;Forum Aydın'dan Zafer Meydanı'na öğrenci ücreti 2.90 TL'dir.
178;Zafer Meydanı'ndan Tren Garı'na öğrenci ne kadar?;Zafer Meydanı'ndan Tren Garı'na öğrenci ücreti 2.90 TL'dir.
179;Tren Garı'ndan Otogar'a öğrenci ne kadar?;Tren Garı'ndan Otogar'a öğrenci ücreti 2.90 TL'dir.
180;Adü'den Forum Aydın'a tam ne kadar?;Adü'den Forum Aydın'a tam yolcu ücreti 2.90 TL'dir.
181;Forum Aydın'dan Zafer Meydanı'na tam ne kadar?;Forum Aydın'dan Zafer Meydanı'na tam yolcu ücreti 2.90 TL'dir.
182;Zafer Meydanı'ndan Tren Garı'na tam ne kadar?;Zafer Meydanı'ndan Tren Garı'na tam yolcu ücreti 2.90 TL'dir.
183;Tren Garı'ndan Otogar'a tam ne kadar?;Tren Garı'ndan Otogar'a tam yolcu ücreti 2.90 TL'dir.
184;Adü - Otogar istikametinde giden otobüs seferlerinden hangilerinde engelli arabasıyla seyahat edebilirim?;Adü - Otogar istikametinde giden otobüs seferlerimizin hepsinde engelli arabasıyla seyahat edilebilmektedir.
185;Otogar - Adü istikametinde giden otobüs seferlerinden hangilerinde engelli arabasıyla seyahat edebilirim?;Otogar - Adü istikametinde giden otobüs seferlerimizin hepsinde engelli arabasıyla seyahat edilebilmektedir.
186;Karpuzlu - Kuşadası istikametinde giden otobüs seferlerinden hangilerinde engelli arabasıyla seyahat edebilirim?;Karpuzlu - Kuşadası istikametinde giden 1.sefer,3.sefer,5.sefer,6.sefer ve 7.seferlerimizde engelli arabasıyla seyahat edilebilmektedir.
